TransactionID,CustomerID,TransactionDate,ProductCategory,Quantity,UnitPrice,PaymentMethod,Country,TotalAmount
115072,1000,28-11-2023,Clothing,3,1516.33,Net Banking,Australia,4548.99
118436,1000,21-06-2023,Electronics,2,2120.86,Cash,Australia,4241.72
126170,1000,22-11-2023,Clothing,5,182.46,Net Banking,Australia,912.3
131616,1000,20-05-2023,Groceries,4,1945,UPI,Australia,7780
136423,1000,15-11-2023,Clothing,1,4882.68,Credit Card,Australia,4882.68
140270,1000,07-02-2023,Clothing,5,754.09,UPI,Australia,3770.45
123996,1000,29-09-2023,Clothing,5,691.79,Credit Card,India,3458.95
144638,1000,15-01-2023,Clothing,2,1712.49,Credit Card,India,3424.98
131830,1000,03-11-2023,Home & Kitchen,2,4546.16,Net Banking,USA,9092.32
132891,1000,10-11-2023,Groceries,2,979.04,Cash,USA,1958.08
144481,1000,12-06-2023,Clothing,3,2276.83,Cash,USA,6830.49
101572,1001,23-08-2023,Electronics,1,3644.81,UPI,Australia,3644.81
117716,1001,19-12-2023,Home & Kitchen,3,4518.24,Debit Card,Australia,13554.72
136978,1001,05-12-2023,Beauty,4,1124.04,Net Banking,Australia,4496.16
135492,1001,23-02-2023,Electronics,1,2805.04,Cash,Canada,2805.04
101686,1001,28-02-2023,Beauty,4,2314.97,Credit Card,India,9259.88
105933,1001,18-04-2023,Groceries,5,3744.68,Credit Card,UK,18723.4
121146,1001,13-09-2023,Electronics,1,1129.14,UPI,USA,1129.14
101351,1002,30-05-2023,Clothing,2,2449.21,Credit Card,Australia,4898.42
139182,1002,22-04-2023,Clothing,5,3277.7,Debit Card,Australia,16388.5
108525,1002,22-05-2023,Beauty,1,2367.07,UPI,Canada,2367.07
110908,1002,07-04-2023,Groceries,1,1541.94,Credit Card,Canada,1541.94
125868,1002,17-03-2023,Sports,4,2626.34,Net Banking,India,10505.36
104064,1002,13-07-2023,Electronics,2,3664.05,Debit Card,UK,7328.1
111268,1002,14-12-2023,Beauty,1,3040.39,UPI,USA,3040.39
149646,1002,28-01-2023,Sports,1,2227.61,Cash,USA,2227.61
116872,1003,14-12-2023,Sports,3,3227.65,Net Banking,Australia,9682.95
125118,1003,29-05-2023,Groceries,2,2357.04,Debit Card,Australia,4714.08
126143,1003,10-11-2023,Clothing,3,2876.46,Net Banking,Australia,8629.38
128802,1003,25-11-2023,Home & Kitchen,5,3355.4,Net Banking,Australia,16777
136966,1003,21-09-2023,Groceries,3,210.78,Credit Card,Australia,632.34
