TransactionID,CustomerID,TransactionDate,ProductCategory,Quantity,UnitPrice,PaymentMethod,Country,TotalAmount
100000,1860,2023-11-22,Clothing,5,1664.1,Cash,USA,8320.5
100001,4772,2023-12-23,Electronics,5,3535.13,Cash,Canada,17675.65
100002,4092,2023-12-31,Clothing,4,3199.39,Credit Card,Canada,12797.56
100003,1466,2023-07-18,Beauty,3,2360.34,Debit Card,Canada,7081.02
100004,5426,2023-08-29,Sports,5,4004.66,Credit Card,India,20023.3
100005,4444,2023-08-20,Home & Kitchen,2,3644.56,Net Banking,India,7289.12
100006,4171,2023-07-30,Clothing,3,3586.66,Credit Card,India,10759.98
100007,3919,2023-02-21,Home & Kitchen,5,3202.01,Debit Card,Canada,16010.050000000001
100008,1130,2023-04-29,Sports,5,1136.24,Cash,India,5681.2
100009,2685,2023-11-26,Sports,2,4609.34,Net Banking,Canada,9218.68
100010,1769,2023-08-03,Clothing,4,1801.95,Net Banking,USA,7207.8
100011,3391,2023-11-18,Home & Kitchen,1,4128.65,Debit Card,Australia,4128.65
100012,3433,2023-05-29,Electronics,4,3260.91,UPI,Australia,13043.64
100013,2184,2023-06-25,Electronics,4,1610.07,UPI,Canada,6440.28
100014,5555,2023-09-26,Electronics,1,4517.73,Debit Card,India,4517.73
100015,4385,2023-11-16,Beauty,3,518.67,Debit Card,India,1556.0099999999998
100016,5117,2023-01-05,Beauty,5,3007.14,Credit Card,USA,15035.699999999999
100017,5843,2023-04-26,Electronics,3,3289.34,UPI,India,9868.02
100018,3904,2023-07-22,Home & Kitchen,1,3615.28,Net Banking,USA,3615.28
100019,1474,2023-02-06,Electronics,1,2936.79,Debit Card,USA,2936.79
100020,2082,2023-02-23,Electronics,4,972.27,Cash,India,3889.08
100021,3558,2023-10-15,Groceries,3,3068.55,Debit Card,Canada,9205.650000000001
100022,3047,2023-10-11,Beauty,5,3611.99,Cash,USA,18059.949999999997
100023,3747,2023-03-27,Beauty,2,4260.36,Net Banking,Canada,8520.72
100024,1975,2023-02-14,Electronics,4,3733.39,Net Banking,UK,14933.56
100025,2806,2023-10-11,Electronics,3,408.09,Cash,India,1224.27
100026,1189,2023-11-17,Groceries,4,2928.74,Debit Card,India,11714.96
100027,3734,2023-03-11,Groceries,1,3451.06,UPI,India,3451.06
100028,4005,2023-02-11,Beauty,2,4861.25,UPI,Australia,9722.5
100029,5658,2023-09-29,Beauty,1,698.76,Debit Card,India,698.76
100030,2899,2023-05-21,Beauty,4,1454.54,UPI,India,5818.16
100031,2267,2023-02-28,Beauty,5,4040.06,Debit Card,UK,20200.3
100032,2528,2023-08-28,Home & Kitchen,3,2995.49,Debit Card,Canada,8986.47
100033,4202,2023-02-16,Electronics,3,1588.61,Net Banking,Australia,4765.83
100034,4556,2023-06-16,Home & Kitchen,5,3439.02,Cash,India,17195.1
100035,4890,2023-04-20,Clothing,3,1464.77,UPI,UK,4394.3099999999995
100036,1646,2023-05-06,Beauty,2,954.3,UPI,Australia,1908.6
100037,3888,2023-10-26,Beauty,5,564.97,Cash,UK,2824.8500000000004
100038,3435,2023-04-19,Electronics,4,2973.99,Cash,Canada,11895.96
100039,1600,2023-06-14,Beauty,4,1397.29,UPI,UK,5589.16
100040,3363,2023-09-16,Beauty,2,3294.02,Cash,India,6588.04
100041,3061,2023-03-17,Home & Kitchen,3,3655.97,Cash,Canada,10967.91
100042,1241,2023-01-07,Clothing,1,4119.24,Debit Card,UK,4119.24
100043,3041,2023-07-05,Home & Kitchen,4,2397.39,Cash,UK,9589.56
100044,3824,2023-10-03,Groceries,5,889.38,Cash,USA,4446.9
100045,3612,2023-03-20,Beauty,3,939.51,UPI,Australia,2818.5299999999997
100046,2363,2023-03-06,Home & Kitchen,5,1795.08,UPI,Canada,8975.4
100047,2478,2023-04-25,Electronics,3,3365.93,Cash,USA,10097.789999999999
100048,3556,2023-07-21,Sports,4,4532.62,UPI,UK,18130.48
100049,1775,2023-05-22,Clothing,5,4693.78,Cash,India,23468.899999999998
100050,5014,2023-04-08,Sports,5,1271.82,Debit Card,Australia,6359.099999999999
100051,1034,2023-11-01,Clothing,2,789.47,UPI,UK,1578.94
100052,4152,2023-08-05,Electronics,3,4293.31,Debit Card,USA,12879.93
100053,2955,2023-03-15,Electronics,4,3461.94,Credit Card,UK,13847.76
100054,2585,2023-10-20,Beauty,2,2114.94,Credit Card,India,4229.88
100055,4943,2023-05-14,Clothing,2,609.3,Debit Card,Australia,1218.6
100056,4073,2023-09-19,Electronics,1,1915.0,Cash,USA,1915.0
100057,2021,2023-10-11,Groceries,4,100.62,UPI,USA,402.48
100058,4461,2023-04-12,Clothing,1,4413.18,Debit Card,Australia,4413.18
100059,3613,2023-07-25,Electronics,3,3824.49,UPI,Australia,11473.47
100060,4843,2023-05-21,Home & Kitchen,2,2656.09,Debit Card,Australia,5312.18
100061,2500,2023-01-13,Electronics,4,2721.2,Credit Card,Canada,10884.8
100062,5798,2023-09-06,Sports,5,726.57,Credit Card,UK,3632.8500000000004
100063,1161,2023-05-03,Clothing,2,4551.74,Credit Card,Australia,9103.48
100064,5297,2023-01-10,Sports,4,1254.55,Net Banking,India,5018.2
100065,2981,2023-03-21,Sports,2,587.56,Cash,India,1175.12
100066,1995,2023-06-16,Beauty,3,4066.42,UPI,USA,12199.26
100067,5911,2023-04-09,Groceries,4,3336.35,Net Banking,Australia,13345.4
100068,4342,2023-07-26,Electronics,3,788.33,Debit Card,Australia,2364.9900000000002
100069,5551,2023-05-31,Clothing,4,73.46,Net Banking,Canada,293.84
100070,4798,2023-02-06,Electronics,3,3901.14,Debit Card,India,11703.42
100071,2275,2023-09-21,Sports,1,4405.71,Debit Card,Canada,4405.71
100072,2016,2023-12-08,Electronics,4,3290.63,Credit Card,Canada,13162.52
100073,1337,2023-01-05,Clothing,3,4250.85,Cash,UK,12752.550000000001
100074,1878,2023-08-14,Home & Kitchen,4,3353.24,Net Banking,Australia,13412.96
100075,2076,2023-01-27,Clothing,5,4912.02,UPI,Australia,24560.100000000002
100076,5887,2023-05-04,Clothing,5,4884.35,Cash,UK,24421.75
100077,4993,2023-10-26,Beauty,3,4259.53,UPI,India,12778.59
100078,5859,2023-02-04,Electronics,5,3274.33,Credit Card,Australia,16371.65
100079,1379,2023-08-25,Electronics,3,438.99,Credit Card,Canada,1316.97
100080,1492,2023-11-07,Clothing,5,4005.33,Cash,USA,20026.65
100081,3062,2023-11-13,Sports,2,3614.4,Credit Card,USA,7228.8
100082,4884,2023-10-30,Home & Kitchen,2,4235.33,UPI,Australia,8470.66
100083,1064,2023-04-12,Beauty,4,4776.57,Net Banking,UK,19106.28
100084,3568,2023-03-18,Home & Kitchen,3,4972.15,Net Banking,India,14916.449999999999
100085,3027,2023-11-08,Home & Kitchen,5,554.36,Net Banking,Canada,2771.8
100086,3695,2023-03-23,Beauty,4,91.5,Cash,India,366.0
100087,2495,2023-05-26,Sports,2,3644.62,UPI,Canada,7289.24
100088,1391,2023-07-12,Sports,2,4424.79,Net Banking,Canada,8849.58
100089,5514,2023-08-12,Beauty,3,2872.34,Cash,USA,8617.02
100090,5474,2023-02-22,Home & Kitchen,2,346.65,Debit Card,India,693.3
100091,4561,2023-12-11,Sports,4,4006.79,UPI,UK,16027.16
100092,3278,2023-03-26,Home & Kitchen,4,972.39,Cash,USA,3889.56
100093,4099,2023-05-09,Home & Kitchen,4,2437.72,Cash,USA,9750.88
100094,1200,2023-07-30,Sports,1,1886.76,Debit Card,USA,1886.76
100095,5875,2023-12-18,Electronics,3,2494.92,Cash,UK,7484.76
100096,4104,2023-09-21,Electronics,2,818.49,Net Banking,UK,1636.98
100097,5598,2023-07-02,Electronics,1,3380.72,UPI,Australia,3380.72
100098,3454,2023-09-29,Electronics,4,2072.68,UPI,UK,8290.72
100099,4645,2023-08-15,Sports,3,1950.69,UPI,Australia,5852.07
100100,1804,2023-11-18,Sports,1,927.4,Debit Card,Canada,927.4
100101,3731,2023-01-12,Beauty,2,3120.63,Cash,Australia,6241.26
100102,3773,2023-04-03,Clothing,2,3316.58,Debit Card,Australia,6633.16
100103,2570,2023-11-26,Sports,5,448.37,Net Banking,UK,2241.85
100104,3690,2023-07-09,Electronics,3,4125.66,Debit Card,UK,12376.98
100105,4840,2023-03-27,Home & Kitchen,5,4440.07,UPI,India,22200.35
100106,2028,2023-12-20,Clothing,4,4946.66,Net Banking,USA,19786.64
100107,1502,2023-10-04,Electronics,2,1759.49,Credit Card,Australia,3518.98
100108,5493,2023-10-20,Groceries,4,3054.82,Net Banking,Australia,12219.28
100109,1870,2023-09-18,Groceries,5,649.82,Net Banking,India,3249.1000000000004
100110,5488,2023-07-17,Beauty,2,2128.48,Credit Card,Canada,4256.96
100111,1206,2023-11-19,Groceries,3,4300.57,UPI,India,12901.71
100112,2484,2023-01-10,Beauty,1,3621.15,Net Banking,Australia,3621.15
100113,1863,2023-03-29,Sports,4,2599.22,Credit Card,Canada,10396.88
100114,3790,2023-12-06,Sports,4,4204.76,Cash,USA,16819.04
100115,1563,2023-11-14,Beauty,2,4161.14,Cash,India,8322.28
100116,5191,2023-02-06,Sports,2,4547.44,Cash,India,9094.88
100117,2757,2023-08-11,Beauty,5,1044.61,Net Banking,Canada,5223.049999999999
100118,2678,2023-06-24,Clothing,4,1183.41,Cash,USA,4733.64
100119,4242,2023-07-28,Clothing,4,4880.86,Credit Card,UK,19523.44
100120,5636,2023-02-18,Groceries,4,2558.77,Credit Card,UK,10235.08
100121,2059,2023-01-24,Clothing,1,3260.66,UPI,Australia,3260.66
100122,2722,2023-12-04,Electronics,4,4535.85,Debit Card,India,18143.4
100123,4314,2023-04-16,Beauty,5,2740.57,Credit Card,UK,13702.85
100124,4157,2023-11-07,Electronics,4,789.35,Debit Card,Australia,3157.4
100125,3625,2023-09-20,Clothing,5,1954.6,Cash,India,9773.0
100126,3729,2023-07-25,Sports,2,2609.55,Debit Card,USA,5219.1
100127,2597,2023-06-18,Home & Kitchen,5,2402.39,UPI,UK,12011.949999999999
100128,4060,2023-06-07,Clothing,4,4972.02,Net Banking,USA,19888.08
100129,3693,2023-08-29,Beauty,3,1196.41,Cash,India,3589.2300000000005
100130,5891,2023-05-03,Home & Kitchen,2,3823.46,Cash,India,7646.92
100131,4627,2023-01-20,Home & Kitchen,1,205.83,Credit Card,USA,205.83
100132,2363,2023-02-25,Beauty,1,1858.73,Debit Card,UK,1858.73
100133,2981,2023-10-07,Sports,3,532.05,UPI,Canada,1596.1499999999999
100134,2663,2023-04-18,Groceries,3,2859.55,UPI,USA,8578.650000000001
100135,2529,2023-05-20,Sports,2,1461.44,Credit Card,Australia,2922.88
100136,3038,2023-04-01,Sports,4,3135.75,UPI,Canada,12543.0
